"Marca temporal","¿Cuál es su sexo?","¿Cuál es su edad?","Ha escuchado usted acerca del perfil digital profesional?","¿Conoce acerca de aplicaciones para encontrar empleo?","¿Ha escuchado hablar sobre LinkedIn?","¿Conoce alguna persona que utiliza o utilizó la aplicación para encontrar trabajo?","¿Utilizaría alguna de estas herramientas como medio para encontrar empleo?","¿Conoce el modelo que llevan todos los datos personales que se incluyen en estas aplicaciones?"
"2022/03/28 5:59:33 p. m. GMT-6","Femenino","19-24 años","","Sí","Sí","Compañeros","Si","No"
"2022/03/30 7:17:22 p. m. GMT-6","Femenino","25-30 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/03/30 7:27:44 p. m. GMT-6","Masculino","19-24 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/03/30 7:32:03 p. m. GMT-6","Masculino","Mayor de 30 años","Sí","Sí","Sí","Familiares;Amigos;Compañeros","No","No"
"2022/03/31 10:05:03 a. m. GMT-6","Femenino","19-24 años","Sí","Sí","Sí","Familiares;Amigos","Si","Sí"
"2022/03/31 10:29:24 a. m. GMT-6","Masculino","19-24 años","Sí","Sí","Sí","Profesores ","No","No"
"2022/03/31 10:32:27 a. m. GMT-6","Femenino","19-24 años","No","Sí","Sí","Amigos","Si","No"
"2022/03/31 10:37:38 a. m. GMT-6","Masculino","19-24 años","Sí","Sí","Sí","Familiares;Amigos","Si","Sí"
"2022/03/31 12:26:56 p. m. GMT-6","Femenino","19-24 años","No","Sí","Sí","Ninguno","Si","No"
"2022/03/31 7:10:15 p. m. GMT-6","Femenino","19-24 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/04/04 11:53:04 a. m. GMT-5","Masculino","19-24 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/04/04 11:54:21 a. m. GMT-5","Masculino","19-24 años","No","Sí","Sí","Familiares","Si","Sí"
"2022/04/04 11:58:44 a. m. GMT-5","Femenino","Mayor de 30 años","Sí","Sí","Sí","Familiares","No","No"
"2022/04/04 12:00:17 p. m. GMT-5","Femenino","Mayor de 30 años","No","Sí","Lo he escuchado mencionar","Ninguno","No","No"
"2022/04/04 12:01:18 p. m. GMT-5","Femenino","15-18 años","No","Sí","Sí","Familiares","Si","No"
"2022/04/04 12:01:41 p. m. GMT-5","Masculino","19-24 años","Sí","Sí","Sí","Familiares","Si","Sí"
"2022/04/04 12:02:25 p. m. GMT-5","Femenino","Mayor de 30 años","No","Sí","Sí","Familiares","Si","Sí"
"2022/04/04 12:04:01 p. m. GMT-5","Femenino","Mayor de 30 años","Sí","Sí","Sí","Familiares","Si","Sí"
"2022/04/04 12:06:09 p. m. GMT-5","Femenino","Mayor de 30 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/04/04 12:08:43 p. m. GMT-5","Masculino","19-24 años","Sí","Sí","Sí","Familiares;Amigos;Compañeros","No","No"
"2022/04/04 12:10:16 p. m. GMT-5","Masculino","19-24 años","Sí","Sí","Sí","Amigos","Si","Sí"
"2022/04/04 12:13:15 p. m. GMT-5","Femenino","19-24 años","Sí","Sí","Sí","Pareja;Amigos","Si","No"
"2022/04/04 12:14:53 p. m. GMT-5","Femenino","25-30 años","Sí","Sí","Sí","Familiares;Amigos","Si","Sí"
"2022/04/04 12:17:12 p. m. GMT-5","Femenino","Mayor de 30 años","Sí","No","No","Ninguno","Si","No"
"2022/04/04 12:17:36 p. m. GMT-5","Femenino","19-24 años","Sí","Sí","Sí","Amigos","Si","No"
"2022/04/04 12:21:31 p. m. GMT-5","Masculino","19-24 años","No","Sí","Lo he escuchado mencionar","Ninguno","Si","No"
"2022/04/04 12:23:10 p. m. GMT-5","Femenino","19-24 años","No","Sí","Sí","Compañeros","Si","No"
"2022/04/04 12:25:54 p. m. GMT-5","Masculino","15-18 años","Sí","Sí","Lo he escuchado mencionar","Familiares;Amigos","Si","Sí"
"2022/04/04 12:33:03 p. m. GMT-5","Masculino","19-24 años","Sí","Sí","Sí","Amigos","No","No"
"2022/04/04 12:33:30 p. m. GMT-5","Femenino","Mayor de 30 años","No","No","Lo he escuchado mencionar","Ninguno","Si","No"
"2022/04/04 12:35:37 p. m. GMT-5","Femenino","19-24 años","Sí","Sí","Sí","Amigos","Si","No"
"2022/04/04 12:49:28 p. m. GMT-5","Femenino","19-24 años","Sí","Sí","Sí","Ninguno","Si","No"
"2022/04/04 1:14:55 p. m. GMT-5","Masculino","19-24 años","Sí","No","No","Ninguno","Si","No"
"2022/04/04 1:15:01 p. m. GMT-5","Femenino","Mayor de 30 años","Sí","No","No","Ninguno","No","No"
"2022/04/04 1:47:41 p. m. GMT-5","Femenino","Mayor de 30 años","Sí","Sí","Sí","Pareja","Si","No"
"2022/04/04 2:44:08 p. m. GMT-5","Femenino","25-30 años","No","Sí","Sí","Pareja;Amigos;Compañeros","Si","No"
"2022/04/04 10:03:17 p. m. GMT-5","Masculino","25-30 años","Sí","Sí","Sí","Familiares;Compañeros","Si","Sí"
